№,Бизнес,Категория,Бизнес-модель,Главный вопрос,Коротко о процессе,Хук,Идея внедрения ИИ
1,ИИ-консалтинг,B2B-услуги и консалтинг,Проектные услуги,"ИИ-консалтинг: как стандартизировать результат, удержать маржу и расти без постоянного ручного контроля?","Диагностируем процессы компании, выбираем задачи с максимальным эффектом, проектируем решение, запускаем пилот, внедряем его в работу и считаем экономический результат.","ИИ-консалтинг: где теряется прибыль, когда хайп продаётся быстрее, чем повторяемый и измеримый результат?","ИИ-консалтинг: RAG-ассистент на базе прошлых проектов и регламентов подсказывает методику диагностики и типовые решения, стандартизирует результат и держит маржу без ручного контроля каждого консультанта."
2,Универсальный продавец на маркетплейсах,E-commerce и маркетплейсы,Маржа на товаре,"Универсальный продавец на маркетплейсах: как удержать маржу, когда комиссии, платное продвижение и низкий процент выкупа съедают наценку быстрее, чем растёт оборот?","Изучаем спрос и юнит-экономику, закупаем партию, оформляем карточки, поставляем на склад площадки, продвигаем рекламой и держим цену, отрабатываем возвраты и контролируем остатки.","Универсальный продавец на маркетплейсах: почему обороты растут, а денег на счёте всё меньше, если комиссия, логистика и невыкупленные заказы забирают половину наценки?","Универсальный продавец на маркетплейсах: ИИ управляет ставками и бюджетами продвижения по каждой карточке на данных о выкупе и марже, снижает ДРР и возвращает наценку, съеденную рекламой."
3,SMM-агентство,"Маркетинг, медиа и дизайн",Абонентское обслуживание,"SMM-агентство: как удержать клиента дольше трёх месяцев и поднять маржу на абонентке, если каждый аккаунт держится на ручном труде команды?","Снимаем бриф, собираем контент-план, готовим тексты и макеты, согласуем с клиентом, публикуем посты, запускаем таргет и сводим отчёт по охватам и заявкам.","SMM-агентство: что скрывается за красивым отчётом об охватах, если клиент не видит заявок и через пару месяцев молча уходит к конкурентам?","SMM-агентство: генеративный ИИ на бренд-гайдах клиента готовит черновики текстов и макетов контент-плана, снижает ручные часы команды на аккаунт и поднимает маржу абонентки."
4,Стоматологическая клиника,"Здоровье, красота и спорт",Оплата за услугу,"Стоматологическая клиника: как поднять загрузку кресел и средний чек, если план лечения согласован, а пациент делает только одну болезненную позицию?","Ведём первичный приём, делаем снимок, составляем план лечения и смету, согласуем стоимость, записываем на этапы, лечим, ставим работу на гарантию и зовём на профосмотр.","Стоматологическая клиника: куда утекает выручка, когда врач простаивает в пустом окне, пациент не пришёл на второй этап, а согласованный план остался на бумаге?","Стоматологическая клиника: ИИ заполняет окна в расписании и достраивает загрузку кресел из очереди на несделанные этапы плана лечения, поднимает утилизацию кресел и сокращает простой врача."
5,Компания по ремонту квартир,"Недвижимость, строительство и дом",Проектные услуги,"Компания по ремонту квартир: как удержать маржу на объекте, если смета плывёт, материалы дорожают, а бригады простаивают между этапами работ?","Выезжаем на замер, считаем смету, закупаем материалы, заводим бригады поэтапно, контролируем качество, устраняем недоделки и сдаём объект заказчику.","Компания по ремонту квартир: сколько прибыли съедают переделки, простои бригад и внеплановая докупка материалов, если объект сдан в срок, а вышли почти в ноль?","Компания по ремонту квартир: ИИ собирает смету по замеру и истории объектов с актуальными ценами материалов, снижает плывущие сметы, переделки и внеплановую докупку, удерживая маржу объекта."
6,Компания заказной разработки ПО,IT и цифровые сервисы,Проектные услуги,"Компания заказной разработки ПО: как поднять утилизацию команды и удержать маржу проекта, если оценки задач регулярно расходятся с реальными сроками сдачи?","Собираем требования, согласуем ТЗ и оценку, разбиваем на спринты, пишем и тестируем код, показываем демо, выкатываем релиз и передаём заказчику на поддержку.","Компания заказной разработки ПО: правда ли, что проект уходит в минус не на сложных задачах, а на бесконечных правках и часах, которых нет в смете?","Компания заказной разработки ПО: ИИ по трекеру и истории задач прогнозирует сроки и распределяет загрузку команды, поднимает утилизацию разработчиков и держит маржу проекта в рамках оценки."
7,Банк для малого бизнеса,Финансы,Процентная маржа + комиссии,"Банк для малого бизнеса: как нарастить комиссионный доход с одного счёта, если клиент открылся на дешёвом тарифе и почти не проводит операций?","Принимаем заявку, проверяем клиента по требованиям комплаенса, открываем расчётный счёт, подключаем эквайринг, зарплатный проект и валютный контроль, проводим платежи, мониторим операции и предлагаем кредитные продукты.","Банк для малого бизнеса: выглядит как рост базы, но какой толк от тысяч открытых счетов, если половина пустая и не приносит ни рубля комиссий?","Банк для малого бизнеса: ИИ по транзакционному профилю счёта подбирает нужный продукт (эквайринг, зарплатный, кредит) в момент потребности, поднимает комиссионный доход с одного счёта."
8,Языковая онлайн-школа,HR и образование,Обучение / инфопродукт,"Языковая онлайн-школа: как поднять LTV ученика и довести его до результата, если после второго месяца занятий доходимость резко падает?","Проводим пробный урок, подбираем преподавателя, принимаем оплату, ставим расписание, ведём занятия, проверяем домашние задания и продлеваем абонемент на следующий блок.","Языковая онлайн-школа: можно ли вырасти, если привлечение ученика стоит как три средних чека, а он бросает раньше, чем окупит первый платёж?","Языковая онлайн-школа: ИИ по посещаемости, домашкам и прогрессу выявляет учеников на грани отвала и запускает триггерные касания до отмены, поднимает доходимость и LTV ученика."
9,Кофейня,HoReCa и гостеприимство,Маржа на заказе,"Кофейня: как выровнять выручку в течение дня и поднять средний чек, если после утреннего наплыва зал стоит полупустым до вечера?","Закупаем зерно и молоко, настраиваем помол под смену, готовим напитки на потоке, предлагаем выпечку и десерт к кофе, пробиваем чек, докупаем скоропорт и списываем нераспроданное к закрытию.","Кофейня: что ломается первым, когда весь бизнес держится на утреннем часе пик — маржа на вечерних списаниях или нервы баристы в очереди?","Кофейня: ИИ на кассе подсказывает баристе персональные допредложения к заказу и запускает акции на дневные часы, поднимает средний чек и сглаживает провал выручки после утреннего пика."
10,Курьерская служба,"Логистика, транспорт и авто",Оплата за услугу,"Курьерская служба: как поднять маржу на доставке и загрузку курьеров, если тариф фиксированный, а половина маршрута — это холостой пробег?","Принимаем заказы, сортируем и консолидируем их в маршруты, назначаем курьеров, забираем отправления, доставляем получателям, при неудаче переназначаем повторную попытку и закрываем оплату по факту вручения.","Курьерская служба: где растворяется прибыль, если курьер полдня едет впустую, а неудачные попытки вручения приходится оплачивать дважды?","Курьерская служба: ИИ строит маршруты с учётом окон доставки и вероятности недозвона, сокращает холостой пробег и повторные попытки вручения, поднимает число доставок на курьера в смену."
11,Рекрутинговое агентство,HR и образование,Фикс + success fee,"Рекрутинговое агентство: как повысить долю закрытых вакансий и не терять гонорар за результат, если кандидаты срываются на финале, а гарантийные замены съедают время?","Снимаем заявку с заказчика, ищем кандидатов, проводим скрининг, организуем собеседования, согласуем оффер, сопровождаем выход и закрываем гарантийный период.","Рекрутинговое агентство: как так выходит, что вакансия закрыта, а гонорар приходится возвращать, когда нанятый кандидат уходит на испытательном сроке?","Рекрутинговое агентство: ИИ сопоставляет резюме с требованиями вакансии и ранжирует кандидатов по вероятности выхода и прохождения испытательного, поднимает долю закрытых вакансий и режет гарантийные замены."
12,Брендинговое агентство,"Маркетинг, медиа и дизайн",Проектные услуги,"Брендинговое агентство: как удержать маржу проекта и загрузку дизайнеров, если правки бесконечны, а согласование логотипа растягивается на месяцы?","Снимаем бриф, исследуем рынок и аудиторию, разрабатываем платформу бренда и позиционирование, придумываем нейминг и айдентику, презентуем и дорабатываем варианты, собираем брендбук с гайдлайнами.","Брендинговое агентство: куда девается маржа проекта, если он застрял на пятом круге правок, а фикс за работу давно закрыт?","Брендинговое агентство: ИИ транскрибирует созвоны и сводит правки клиента в структурированное согласованное ТЗ, сокращает бесконечные круги правок и защищает загрузку дизайнеров и маржу проекта."
13,Дистрибьютор продуктов питания,Производство и оптовая торговля,Оптовая маржа,"Дистрибьютор продуктов питания: как ускорить оборачиваемость и собрать дебиторку, если товар скоропортящийся, а розница платит с задержкой?","Закупаем товар у производителей, храним на складе, принимаем заявки от точек, комплектуем и развозим по маршрутам, забираем возвраты и контролируем оплату.","Дистрибьютор продуктов питания: сколько теряет бизнес на списаниях по срокам годности и зависшей дебиторке, пока розница тянет с оплатой поставленного товара?","Дистрибьютор продуктов питания: ИИ скорит торговые точки по риску просрочки платежа и задаёт лимиты и приоритет отгрузки, сокращает зависшую дебиторку и потери на неплатежах."
14,Агентство недвижимости,"Недвижимость, строительство и дом",Комиссия со сделки,"Агентство недвижимости: как поднять конверсию показов в сделки, если заявок много, а до подписания договора доходят единицы?","Принимаем заявку, подбираем объекты, организуем показы, ведём переговоры сторон, проверяем документы, готовим сделку и получаем комиссию после регистрации.","Агентство недвижимости: что мешает сделке состояться, если показов десятки, база огромная, а клиент в итоге покупает через соседнего риелтора?","Агентство недвижимости: ИИ скорит заявки по готовности к сделке и бюджету, направляет риелторов на горячих клиентов, поднимает конверсию показов в договоры и не распыляет время на пустые показы."
15,Автосервис,"Логистика, транспорт и авто",Оплата за услугу,"Автосервис: как поднять загрузку подъёмников и выработку нормо-часов, если запись плотная, а к концу месяца касса всё равно не сходится?","Принимаем машину, проводим диагностику, согласуем работы и запчасти с клиентом, ремонтируем на подъёмнике, проверяем результат и выдаём авто с актом.","Автосервис: подъёмники заняты весь день, механики в мыле, а нормо-часы к вечеру не сходятся с кассой — так где оседает заработанное?","Автосервис: ИИ сверяет нормо-часы, списанные запчасти и кассу, выявляет аномалии и утечки по сменам и мастерам, возвращает недосчитанную выручку и сводит нормо-часы с кассой."
16,Магазин у дома,Розничная торговля,Маржа на товаре,"Магазин у дома: как поднять средний чек и оборачиваемость, если ассортимент огромный, полки полные, а часть скоропорта каждый вечер идёт в списание?","Заказываем товар у поставщиков, принимаем и проверяем поставку, выкладываем на полки и обновляем ценники, контролируем сроки годности, пробиваем на кассе, списываем скоропорт и проводим инвентаризацию.","Магазин у дома: куда исчезает наценка, если полки всегда полные, но списания скоропорта и недостачи на кассе тихо съедают дневную выручку?","Магазин у дома: ИИ прогнозирует спрос по SKU и срокам годности, формирует заказ и своевременную уценку скоропорта, сокращает вечерние списания и поднимает оборачиваемость полки."
